curso,semestre,disciplina,tipo
13,2,Higiene e Segurança do Trabalho,Obrigatória
13,2,Mecanismos,Obrigatória
13,2,Resistência dos Materiais,Obrigatória
13,2,Robótica Industrial,Obrigatória
13,3,Acionamentos Hidráulicos e Pneumáticos,Obrigatória
13,3,CAM/CNC/CIM,Obrigatória
13,3,Comandos Elétricos,Obrigatória
13,3,Elementos de Máquinas,Obrigatória
13,3,Máquinas Térmicas,Obrigatória
13,3,Usinagem,Obrigatória
13,4,Controle de Qualidade,Obrigatória
13,4,Manutenção de Máquinas e Equipamentos,Obrigatória
13,4,Planejamento e Controle da Produção,Obrigatória
13,4,Tecnologia da Soldagem,Obrigatória
13,4,Prática Profissional Supervisionada,Obrigatória
13,4,Estágio Supervisionado,Obrigatória
14,1,Desenho Técnico,Obrigatória
14,1,Eletricidade Aplicada,Obrigatória
14,1,Informática Básica,Obrigatória
14,1,Inglês Instrumental,Obrigatória
14,1,Materiais para Construção Mecânica,Obrigatória
14,1,Mecânica Geral,Obrigatória
14,1,Metrologia,Obrigatória
14,2,Bombas Hidráulicas e Compressores,Obrigatória
14,2,Desenho Assistido por Computador,Obrigatória
14,2,Gestão e Empreendedorismo,Obrigatória
14,2,Higiene e Segurança do Trabalho,Obrigatória
14,2,Mecanismos,Obrigatória
14,2,Resistência dos Materiais,Obrigatória
14,2,Robótica Industrial,Obrigatória
14,3,Acionamentos Hidráulicos e Pneumáticos,Obrigatória
14,3,CAM/CNC/CIM,Obrigatória
14,3,Comandos Elétricos,Obrigatória
14,3,Elementos de Máquinas,Obrigatória
14,3,Máquinas Térmicas,Obrigatória
14,3,Tecnologia Mecânica,Obrigatória
14,4,Controle de Qualidade,Obrigatória
14,4,Manutenção de Máquinas e Equipamentos,Obrigatória
14,4,Planejamento e Controle da Produção,Obrigatória
14,4,Tecnologia da Soldagem,Obrigatória
14,4,Usinagem,Obrigatória
15,1,Comunicação e Redação Empresarial,Obrigatória
15,1,Inglês Instrumental,Obrigatória
15,1,Informática e Tecnologias Aplicadas,Obrigatória
15,1,Introdução à Administração,Obrigatória
15,1,Gestão de Pessoas,Obrigatória
15,1,Aspectos Legais de Gestão Empresarial,Obrigatória
15,1,Matemática Básica e Lógica Matemática,Obrigatória
15,1,Empreendedorismo e Inovação I,Obrigatória
15,2,Administração Estratégica,Obrigatória
15,2,Marketing Digital,Obrigatória
15,2,Empreendedorismo e Inovação II,Obrigatória
15,2,Matemática Financeira,Obrigatória
15,2,Contabilidade Geral,Obrigatória
15,2,Gestão Financeira,Obrigatória
15,2,Estatística,Obrigatória
15,2,Logística,Obrigatória
15,2,Gestão de Processos e Qualidade,Obrigatória
15,2,Libras,Optativa
15,2,Arte Educação Cultural e Música,Optativa
15,2,Educação Física,Optativa
16,1,Artes I,Obrigatória
16,1,Biologia I,Obrigatória
16,1,Física I,Obrigatória
16,1,Geografia I,Obrigatória
16,1,História I,Obrigatória
16,1,Inglês I,Obrigatória
16,1,Português I,Obrigatória
16,1,Química I,Obrigatória
16,1,Informática Básica,Obrigatória
16,1,Matemática I,Obrigatória
16,1,Desenho Técnico,Obrigatória
16,1,Higiene e Segurança do Trabalho,Obrigatória
16,1,Desenvolvimento Pessoal,Obrigatória
16,2,Artes II,Obrigatória
16,2,Biologia II,Obrigatória
16,2,Espanhol I,Obrigatória
16,2,Física II,Obrigatória
16,2,Geografia II,Obrigatória
16,2,História II,Obrigatória
16,2,Matemática II,Obrigatória
16,2,Português II,Obrigatória
16,2,Química II,Obrigatória
16,2,Análise de Circuitos,Obrigatória
16,2,Desenho Assistido por Computador,Obrigatória
16,2,Conservação de Energia,Obrigatória
16,3,Biologia III,Obrigatória
16,3,Artes III,Obrigatória
16,3,Eletrônica Básica,Obrigatória
16,3,Geografia III,Obrigatória
16,3,Inglês II,Obrigatória
16,3,Filosofia I,Obrigatória
16,3,História III,Obrigatória
16,3,Matemática III,Obrigatória
16,3,Português III,Obrigatória
16,3,Química III,Obrigatória
16,3,Medidas Elétricas,Obrigatória
16,3,Física III,Obrigatória
16,4,Biologia IV,Obrigatória
16,4,Espanhol II,Obrigatória
16,4,Física IV,Obrigatória
16,4,Geografia IV,Obrigatória
16,4,História IV,Obrigatória
16,4,Matemática IV,Obrigatória
16,4,Português IV,Obrigatória
16,4,Química IV,Obrigatória
16,4,Sociologia I,Obrigatória
16,4,Eletrônica Digital,Obrigatória
16,4,Eletricidade Corrente Alternada,Obrigatória
16,5,Educação Física I,Obrigatória
16,5,Física V,Obrigatória
16,5,Matemática V,Obrigatória
16,5,Português V,Obrigatória
16,5,Gestão e Empreendedorismo,Obrigatória
16,5,Transformadores,Obrigatória
16,5,Instalações Elétricas Prediais,Obrigatória
16,5,Máquinas de Corrente Contínua,Obrigatória
16,6,Física VI,Obrigatória
16,6,Matemática VI,Obrigatória
16,6,Português VI,Obrigatória
16,5,Educação Física II,Obrigatória
16,6,Eletrônica Industrial,Obrigatória
16,6,Instalações Elétricas Industriais,Obrigatória
16,6,Máquinas de Corrente Alternada,Obrigatória
16,6,Subestações Industriais,Obrigatória
