curso,semestre,disciplina,tipo
3,3,Mecânica Geral,Obrigatória
3,4,Higiene e Segurança do Trabalho,Obrigatória
3,4,Física 3,Obrigatória
3,4,Metodologia Científica e Tecnológica,Obrigatória
3,4,Materiais I,Obrigatória
3,4,Métodos Numéricos,Obrigatória
3,4,Direito para Engenharia,Obrigatória
3,5,Materiais II,Obrigatória
3,5,Processo de Fabricação I,Obrigatória
3,5,Mecanismos,Obrigatória
3,5,Resistência dos Materiais,Obrigatória
3,5,Física Experimental II,Obrigatória
3,5,Optativa,Optativa
3,6,Termodinâmica,Obrigatória
3,6,Mecânica dos Sólidos,Obrigatória
3,6,Soldagem,Obrigatória
3,6,Processos de Fabricação II,Obrigatória
3,6,Ensaios Mecânicos,Obrigatória
3,7,Eletrotécnica,Obrigatória
3,7,Gestão da Manutenção Industrial,Obrigatória
3,7,Mecânica dos Fluidos,Obrigatória
3,7,Sistemas Mecânicos I,Obrigatória
3,7,Administração e Empreendedorismo,Obrigatória
3,7,Laboratório de Processos de Fabricação,Obrigatória
3,8,Transportadores Industriais,Obrigatória
3,8,Transferência de Calor,Obrigatória
3,8,Acionamentos Hidráulicos e Pneumáticos,Obrigatória
3,8,Controle de Qualidade,Obrigatória
3,8,Manutenção Industrial,Obrigatória
3,8,Sistemas Mecânicos II,Obrigatória
3,9,Máquinas Térmicas e de Fluxo,Obrigatória
3,9,CNC/CAM,Obrigatória
3,9,Economia,Obrigatória
3,9,Planejamento e Controle da Produção,Obrigatória
3,9,Tratamentos Térmicos e Termoquímicos,Obrigatória
3,9,Optativa,Optativa
3,10,Projeto Social,Obrigatória
3,10,Trabalho de Conclusão de Curso,Obrigatória
3,10,Projeto de Engenharia,Obrigatória
3,10,Optativa,Optativa
3,5,Libras,Optativa
3,10,Corrosão e Proteção Anticorrosiva,Optativa
3,10,Tribologia e Lubrificação,Optativa
3,5,Máquinas de Elevação,Optativa
3,10,Gestão de Projetos,Optativa
3,5,Educação Física,Optativa
3,5,Manufatura Integrada por Componentes,Optativa
3,10,Refrigeração Industrial,Optativa
3,5,Materiais Compostos,Optativa
3,9,Metalurgia da Soldagem,Optativa
3,9,Ergonomia,Optativa
3,9,Vibrações Mecânicas,Optativa
3,10,Robótica I,Optativa
3,9,Inglês Instrumental,Optativa
3,9,Comunicação e Linguagem,Optativa
3,9,Energias Renováveis,Optativa
4,1,Cálculo 1,Obrigatória
4,1,Física Aplicada,Obrigatória
4,1,Eletricidade Corrente Contínua,Obrigatória
4,1,Linguagem de Programação,Obrigatória
4,1,Materiais para Construção Mecânica,Obrigatória
4,2,Eletromagnetismo,Obrigatória
4,2,Eletrônica Analógica,Obrigatória
4,2,Resistência dos Materiais,Obrigatória
4,2,Metrologia Dimensional,Obrigatória
4,2,Álgebra Linear,Obrigatória
4,3,Inglês Instrumental,Obrigatória
4,3,Metodologia do Trabalho Científico,Obrigatória
4,3,Eletricidade Corrente Alternada,Obrigatória
4,3,Eletrônica Digital,Obrigatória
4,3,Desenho Técnico,Obrigatória
4,3,Elementos de Máquinas,Obrigatória
4,4,Eletrônica Industrial,Obrigatória
4,4,Mecanismos,Obrigatória
4,4,Sistemas de Controle,Obrigatória
4,4,Processo de Fabricação Mecânica,Obrigatória
4,4,Desenho Assistido por Computador,Obrigatória
4,4,Microcontroladores,Obrigatória
4,5,Instrumentação,Obrigatória
4,5,Acionamentos de Máquinas I,Obrigatória
4,5,Comandos Eletroeletrônicos,Obrigatória
4,5,Higiene e Segurança do Trabalho,Obrigatória
4,5,Usinagem,Obrigatória
4,5,Planejamento e Controle da Produção,Obrigatória
4,6,Acionamentos de Máquinas II,Obrigatória
4,6,Sistemas de Controle Distribuído,Obrigatória
4,6,Robótica I,Obrigatória
4,6,CAM/CNC/CIM,Obrigatória
4,6,Acionamento Hidráulico e Pneumático,Obrigatória
4,7,Projeto Social,Obrigatória
4,7,Projeto de Conclusão de Curso,Obrigatória
4,7,Sistema de Supervisão,Obrigatória
4,7,Controle de Qualidade,Obrigatória
4,7,Gestão de Manutenção,Obrigatória
4,7,Robótica II,Obrigatória
4,7,Aspectos Legais de Gestão Empresarial,Obrigatória
4,3,Cálculo 2,Optativa
4,7,Inteligência Artificial,Optativa
4,4,Libras,Optativa
4,5,Linguagem de Programação Estruturada,Optativa
5,1,Fundamentos da Educação Superior,Obrigatória
5,1,Educação e Diversidade,Obrigatória
5,1,Metodologia da Pesquisa I,Obrigatória
5,1,Estrutura e Funcionamento do Ensino Superior,Obrigatória
5,2,Metodologia da Pesquisa II,Obrigatória
5,2,Fundamentos Psicológicos da Educação,Obrigatória
5,2,Didática do Ensino Superior,Obrigatória
5,2,Novas Tecnologias e Formação Docente,Obrigatória
5,3,Currículo Planejamento e Avaliação Educacional,Obrigatória
5,3,Trabalho de Conclusão de Curso,Obrigatória
5,3,Empreendedorismo e Redes de Cooperação em Educação,Obrigatória
5,3,Política Gestão e Avaliação do Ensino Superior,Obrigatória
5,3,Tópicos Especiais I – Ludicidade na Educação Superior,Optativa
5,3,Tópicos Especiais II – Educação Profissional e Tecnológica,Optativa
5,3,Tópicos Especiais III – Educação a Distância,Optativa
6,1,Comunicação e Linguagem,Obrigatória
6,1,Fundamentos da Matemática I,Obrigatória
6,1,Fundamentos Sócio-Filosóficos da Educação,Obrigatória
6,1,Geometria Plana e Espacial,Obrigatória
6,1,Introdução às Ciências,Obrigatória
6,1,Trigonometria,Obrigatória
6,2,Desenho Geométrico,Obrigatória
6,2,Fundamentos da Matemática II,Obrigatória
6,2,Geometria Analítica Plana e Números Complexos,Obrigatória
6,2,História da Educação no Brasil,Obrigatória
